smoothed;3
(;i;t; ;s;g;r;e;a;o;b;j;n;d;y;);c;m;k;h;w;p;l;f;v;u;x;z;q;.;#
ke;0.000263;0.000263;0.040473;0.545072;0.047569;0.000263;0.034691;0.027332;0.001051;0.000263;0.000263;0.000263;0.039947;0.119054;0.014192;0.078055;0.000263;0.000263;0.000263;0.000263;0.000263;0.009461;0.036268;0.000788;0.000526;0.001314;0.000263;0.000263;0.000263;0.000263;0.000263
ka;0.001828;0.027422;0.020110;0.051188;0.007313;0.021938;0.029250;0.001828;0.001828;0.001828;0.102377;0.001828;0.016453;0.001828;0.541133;0.014625;0.001828;0.003656;0.001828;0.005484;0.001828;0.003656;0.001828;0.001828;0.122486;0.003656;0.001828;0.001828;0.001828;0.001828;0.001828
ko;0.005236;0.005236;0.010471;0.005236;0.005236;0.015707;0.738220;0.005236;0.005236;0.015707;0.005236;0.005236;0.010471;0.005236;0.005236;0.010471;0.010471;0.005236;0.005236;0.005236;0.031414;0.005236;0.015707;0.005236;0.015707;0.020942;0.005236;0.005236;0.005236;0.005236;0.005236
kb;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.048780;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.146341;0.024390;0.024390;0.024390;0.024390;0.024390
kj;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
kn;0.000443;0.001774;0.000443;0.000443;0.000443;0.000443;0.000443;0.046120;0.001330;0.938359;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000443;0.000887;0.000443;0.000443;0.000443;0.000443;0.000443
kd;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ky;0.014925;0.014925;0.014925;0.417910;0.014925;0.014925;0.014925;0.014925;0.014925;0.059701;0.014925;0.014925;0.014925;0.014925;0.014925;0.029851;0.014925;0.014925;0.014925;0.029851;0.014925;0.014925;0.074627;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
k);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
kc;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.083333;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.270833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
km;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.907975;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067
kk;0.017544;0.438596;0.017544;0.035088;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.035088;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
kh;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.076923;0.326923;0.057692;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
kw;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.423077;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
kp;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.113636;0.136364;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
kl;0.008772;0.017544;0.008772;0.008772;0.008772;0.008772;0.008772;0.114035;0.096491;0.043860;0.008772;0.008772;0.008772;0.008772;0.500000;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772
kf;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641
kv;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ku;0.017241;0.017241;0.017241;0.034483;0.327586;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.034483;0.017241;0.017241;0.017241;0.068966;0.086207;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
kx;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
kz;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
kq;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
k.;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
k#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
h(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
hi;0.000110;0.000110;0.025585;0.000329;0.351268;0.014494;0.014604;0.005820;0.001757;0.001757;0.000988;0.000329;0.371912;0.002745;0.000220;0.000220;0.095970;0.041177;0.000110;0.000110;0.000110;0.025145;0.040738;0.002965;0.000439;0.000110;0.000110;0.000439;0.000110;0.000110;0.000110
ht;0.000482;0.015919;0.001930;0.731790;0.055475;0.000482;0.001447;0.014954;0.000482;0.001447;0.000482;0.000482;0.000482;0.000482;0.002894;0.114327;0.000482;0.001930;0.000482;0.000482;0.025084;0.000482;0.011095;0.002412;0.000482;0.010613;0.000482;0.000482;0.000482;0.000965;0.000482
h ;0.000181;0.146014;0.165036;0.002536;0.052174;0.006522;0.026630;0.011232;0.115217;0.059239;0.029891;0.005978;0.014855;0.027717;0.045290;0.000906;0.029529;0.043478;0.024819;0.041848;0.065036;0.034058;0.019022;0.018841;0.004167;0.007428;0.000362;0.000181;0.001449;0.000181;0.000181
hs;0.006410;0.006410;0.019231;0.679487;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.102564;0.012821;0.006410;0.006410;0.006410;0.006410;0.019231;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410
hg;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250
hr;0.001592;0.197452;0.001592;0.007962;0.001592;0.001592;0.001592;0.366242;0.050955;0.332803;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.001592;0.004777;0.001592;0.001592;0.001592;0.001592;0.001592
he;0.000038;0.017989;0.010197;0.451438;0.040637;0.000038;0.168888;0.000726;0.019707;0.004278;0.000115;0.000038;0.061910;0.006302;0.085895;0.095253;0.002559;0.022266;0.000038;0.000038;0.000153;0.000764;0.010274;0.000076;0.000115;0.000076;0.000038;0.000038;0.000038;0.000038;0.000038
ha;0.000060;0.002285;0.645121;0.001503;0.052973;0.000060;0.026517;0.008659;0.000060;0.000661;0.001744;0.000060;0.061632;0.031507;0.000241;0.000120;0.002826;0.003968;0.001323;0.001203;0.000421;0.022308;0.009260;0.000060;0.124526;0.000180;0.000060;0.000481;0.000060;0.000060;0.000060
ho;0.000199;0.005361;0.009730;0.152105;0.130858;0.003177;0.037927;0.003971;0.001191;0.035941;0.003177;0.000199;0.028396;0.001787;0.000397;0.023233;0.004766;0.015290;0.000397;0.000199;0.232129;0.018467;0.059373;0.000199;0.001589;0.228952;0.000199;0.000199;0.000199;0.000199;0.000199
hb;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.060000;0.260000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.120000;0.020000;0.020000;0.020000;0.020000;0.020000
hj;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
hn;0.005051;0.131313;0.005051;0.303030;0.040404;0.005051;0.005051;0.151515;0.010101;0.186869;0.005051;0.005051;0.005051;0.005051;0.005051;0.055556;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051
hd;0.025641;0.051282;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.076923;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
hy;0.001957;0.001957;0.001957;0.667319;0.086106;0.001957;0.001957;0.001957;0.001957;0.001957;0.003914;0.001957;0.001957;0.001957;0.001957;0.091977;0.001957;0.003914;0.001957;0.001957;0.003914;0.095890;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957;0.001957
h);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
hc;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.319149;0.063830;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277;0.021277
hm;0.011628;0.023256;0.011628;0.011628;0.081395;0.011628;0.011628;0.348837;0.093023;0.034884;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.127907;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628
hk;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
hh;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.326087;0.021739;0.021739;0.021739;0.021739;0.021739
hw;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.260870;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
hp;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
hl;0.012821;0.064103;0.012821;0.012821;0.012821;0.012821;0.012821;0.243590;0.012821;0.012821;0.064103;0.012821;0.012821;0.012821;0.282051;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
hf;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250
hv;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
hu;0.001656;0.001656;0.021523;0.021523;0.094371;0.117550;0.180464;0.001656;0.003311;0.001656;0.026490;0.001656;0.218543;0.006623;0.001656;0.003311;0.086093;0.157285;0.001656;0.014901;0.001656;0.001656;0.013245;0.004967;0.001656;0.001656;0.004967;0.001656;0.001656;0.001656;0.001656
hx;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
hz;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
hq;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
h.;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
h#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
w(;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
wi;0.000305;0.000305;0.623932;0.000305;0.023199;0.000611;0.003663;0.000916;0.000305;0.000305;0.000305;0.000305;0.132479;0.010989;0.000305;0.000305;0.003663;0.000611;0.004274;0.000305;0.000305;0.001526;0.181319;0.007326;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305
wt;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.250000;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
w ;0.000234;0.150339;0.185644;0.001637;0.043255;0.009820;0.014029;0.018939;0.102642;0.032266;0.036240;0.008183;0.009820;0.035305;0.053542;0.000468;0.021510;0.044657;0.006547;0.042553;0.108721;0.020575;0.015198;0.021510;0.003507;0.011457;0.000234;0.000234;0.000234;0.000234;0.000468
ws;0.001825;0.003650;0.001825;0.740876;0.005474;0.001825;0.001825;0.009124;0.001825;0.001825;0.001825;0.001825;0.001825;0.001825;0.001825;0.135036;0.001825;0.003650;0.012774;0.003650;0.014599;0.010949;0.001825;0.001825;0.001825;0.021898;0.001825;0.001825;0.001825;0.003650;0.001825
wg;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
wr;0.002786;0.504178;0.002786;0.002786;0.002786;0.002786;0.002786;0.022284;0.022284;0.376045;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786
we;0.000185;0.013856;0.000369;0.308332;0.008129;0.000185;0.260484;0.081840;0.013117;0.000185;0.006281;0.000185;0.028635;0.028265;0.000185;0.055053;0.000369;0.000185;0.000185;0.000185;0.000185;0.000185;0.142804;0.000185;0.049141;0.000185;0.000185;0.000185;0.000185;0.000369;0.000185
wa;0.000209;0.015047;0.030094;0.002717;0.461233;0.010031;0.086729;0.000209;0.000209;0.000209;0.000209;0.000209;0.167189;0.002299;0.194148;0.000209;0.002717;0.001045;0.002508;0.000209;0.000418;0.000418;0.016928;0.000209;0.003135;0.000209;0.000209;0.000418;0.000209;0.000209;0.000209
wo;0.000361;0.000361;0.002168;0.075506;0.000361;0.000361;0.349350;0.000361;0.000361;0.010477;0.000723;0.000361;0.048049;0.000723;0.001445;0.016618;0.000361;0.050578;0.001084;0.000361;0.011561;0.001084;0.012645;0.000361;0.000361;0.412211;0.000361;0.000361;0.000361;0.000361;0.000361
wb;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412
wj;0.027027;0.027027;0.027027;0.189189;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
wn;0.001786;0.005357;0.010714;0.687500;0.028571;0.001786;0.001786;0.087500;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.126786;0.001786;0.001786;0.001786;0.008929;0.003571;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786
wd;0.016393;0.016393;0.016393;0.327869;0.065574;0.016393;0.016393;0.065574;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.065574;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.049180;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
wy;0.006579;0.006579;0.006579;0.026316;0.006579;0.006579;0.006579;0.776316;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.013158;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579
w);0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
wc;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
