smoothed;3
(;i;m; ;a;l;b;o;u;t;h;e;s;c;);w;p;d;n;y;f;r;g;q;x;j;v;k;z;,;.;í;ö;á;é;ä;#
fz;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
f,;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
f.;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fí;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fö;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fá;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fé;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
fä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
f#;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
r(;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ri;0.000057;0.000057;0.033301;0.002553;0.043967;0.019289;0.028990;0.039882;0.001305;0.106711;0.000170;0.084473;0.071708;0.116299;0.000454;0.000057;0.013615;0.022749;0.099450;0.000227;0.009928;0.000284;0.259148;0.000340;0.000397;0.000511;0.027061;0.005446;0.011119;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057
rm;0.000400;0.088907;0.000400;0.191029;0.236284;0.002403;0.000400;0.028835;0.008811;0.000400;0.000400;0.111334;0.258710;0.000400;0.037245;0.000801;0.000400;0.000400;0.000400;0.021626;0.004005;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400;0.000400
r ;0.000035;0.078999;0.036317;0.006896;0.116093;0.027865;0.036706;0.068779;0.009548;0.167262;0.039004;0.022879;0.064925;0.040560;0.001238;0.058276;0.048658;0.027865;0.018565;0.028961;0.037873;0.023233;0.016514;0.001591;0.000071;0.009336;0.005764;0.005198;0.000283;0.000389;0.000106;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035
ra;0.000075;0.044851;0.048976;0.023326;0.000150;0.141229;0.017100;0.002325;0.003900;0.257931;0.005925;0.011700;0.029926;0.118653;0.005100;0.008550;0.022726;0.038626;0.122778;0.008850;0.005700;0.008475;0.027001;0.004875;0.000750;0.001800;0.015675;0.001425;0.021001;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075
rl;0.000570;0.099202;0.000570;0.040479;0.015964;0.000570;0.000570;0.031357;0.000570;0.000570;0.000570;0.058153;0.044470;0.000570;0.006842;0.001140;0.000570;0.284493;0.000570;0.399088;0.003991;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570;0.000570
rb;0.002404;0.233173;0.002404;0.048077;0.262019;0.012019;0.002404;0.117788;0.009615;0.002404;0.002404;0.103365;0.036058;0.002404;0.007212;0.002404;0.002404;0.002404;0.002404;0.100962;0.002404;0.007212;0.002404;0.002404;0.002404;0.002404;0.002404;0.002404;0.002404;0.002404;0.002404;0.002404;0.002404;0.002404;0.002404;0.002404;0.002404
ro;0.000068;0.005290;0.200868;0.016750;0.036213;0.033026;0.087617;0.044690;0.137936;0.047945;0.001356;0.002780;0.038790;0.025838;0.003933;0.039672;0.042656;0.027533;0.067544;0.008138;0.021294;0.011800;0.053506;0.000068;0.001763;0.009291;0.025973;0.005696;0.001424;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068
ru;0.000228;0.025046;0.328552;0.002960;0.004098;0.052596;0.024135;0.000228;0.000228;0.027322;0.000911;0.059199;0.129326;0.081967;0.000911;0.000228;0.057605;0.015027;0.125228;0.000228;0.001366;0.008197;0.048497;0.000228;0.000228;0.000228;0.000228;0.000228;0.002960;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228
rt;0.000099;0.112775;0.017754;0.366693;0.126959;0.009621;0.000694;0.010613;0.031244;0.000397;0.063479;0.071315;0.048502;0.000397;0.049494;0.000595;0.000298;0.000099;0.002976;0.077366;0.000595;0.002678;0.003571;0.000099;0.000099;0.000099;0.000198;0.000099;0.000397;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099;0.000099
rh;0.004405;0.008811;0.004405;0.004405;0.303965;0.004405;0.004405;0.215859;0.008811;0.004405;0.004405;0.286344;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.039648;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405
re;0.000019;0.005512;0.020288;0.388324;0.126423;0.017219;0.001118;0.002046;0.000455;0.023186;0.001364;0.032714;0.132750;0.025307;0.067796;0.005039;0.034191;0.037203;0.039798;0.001155;0.010627;0.001553;0.012180;0.002406;0.001061;0.000549;0.008789;0.000379;0.000398;0.000019;0.000019;0.000019;0.000019;0.000019;0.000019;0.000019;0.000019
rs;0.000110;0.033630;0.000110;0.425431;0.034289;0.000110;0.000330;0.089350;0.017035;0.153753;0.023079;0.124519;0.000110;0.001209;0.069898;0.000110;0.018024;0.004726;0.000110;0.001209;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110;0.001099;0.000110;0.000110;0.000110;0.000110;0.000110;0.000110
rc;0.000563;0.070986;0.000563;0.005070;0.008451;0.032676;0.000563;0.019155;0.062535;0.003944;0.258028;0.506479;0.001690;0.001127;0.001127;0.000563;0.000563;0.000563;0.000563;0.012394;0.000563;0.002817;0.000563;0.000563;0.000563;0.000563;0.000563;0.000563;0.001127;0.000563;0.000563;0.000563;0.000563;0.000563;0.000563;0.000563;0.000563
r);0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
rw;0.003205;0.157051;0.003205;0.003205;0.560897;0.003205;0.003205;0.048077;0.003205;0.003205;0.057692;0.067308;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.009615;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205;0.003205
rp;0.001522;0.016743;0.003044;0.030441;0.038052;0.024353;0.001522;0.493151;0.003044;0.006088;0.027397;0.051750;0.012177;0.001522;0.006088;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.251142;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522;0.001522
rd;0.000269;0.075868;0.005919;0.406242;0.086360;0.017487;0.001345;0.014797;0.005381;0.000269;0.000807;0.151466;0.140705;0.000807;0.064568;0.015335;0.002690;0.000269;0.000807;0.002959;0.000538;0.000807;0.000538;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269;0.000269
rn;0.000334;0.161711;0.190110;0.169395;0.123956;0.000334;0.000334;0.047110;0.000334;0.001336;0.001002;0.212830;0.044771;0.002673;0.034080;0.000334;0.000334;0.001671;0.000334;0.001336;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334;0.000334
ry;0.000127;0.062365;0.003309;0.651139;0.007382;0.002927;0.051801;0.028637;0.000127;0.040855;0.000127;0.000764;0.006618;0.000509;0.126257;0.009037;0.002164;0.002673;0.000255;0.000127;0.000127;0.000127;0.000636;0.000127;0.000127;0.000127;0.000127;0.000127;0.000127;0.000127;0.000255;0.000127;0.000127;0.000127;0.000127;0.000127;0.000127
rf;0.002342;0.018735;0.002342;0.030445;0.049180;0.014052;0.002342;0.170960;0.217799;0.002342;0.002342;0.393443;0.014052;0.002342;0.014052;0.002342;0.002342;0.011710;0.002342;0.002342;0.002342;0.004684;0.002342;0.002342;0.002342;0.002342;0.002342;0.002342;0.002342;0.002342;0.002342;0.002342;0.002342;0.002342;0.002342;0.002342;0.002342
rr;0.000373;0.279806;0.000373;0.008197;0.099851;0.000373;0.000373;0.147914;0.067809;0.000373;0.000373;0.204173;0.007079;0.000373;0.001490;0.000373;0.000373;0.000373;0.001118;0.172504;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373;0.000373
rg;0.000476;0.119353;0.000476;0.028055;0.166429;0.000476;0.000476;0.019496;0.186400;0.000476;0.006182;0.411317;0.000476;0.000476;0.001427;0.000476;0.000476;0.000476;0.000476;0.038041;0.000476;0.010461;0.000476;0.000476;0.000476;0.000476;0.000476;0.000476;0.000476;0.000476;0.000476;0.000476;0.000476;0.000476;0.000476;0.000476;0.000476
rq;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.100000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
rx;0.011364;0.488636;0.011364;0.068182;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.034091;0.011364;0.034091;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
rj;0.016393;0.016393;0.016393;0.065574;0.016393;0.016393;0.016393;0.032787;0.213115;0.016393;0.016393;0.147541;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
rv;0.000912;0.428441;0.000912;0.000912;0.247037;0.000912;0.000912;0.017320;0.000912;0.000912;0.000912;0.277119;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912
rk;0.000389;0.129860;0.000389;0.401244;0.015552;0.005054;0.000389;0.013219;0.002722;0.000389;0.002722;0.235226;0.089813;0.000778;0.065708;0.002722;0.015552;0.000778;0.001555;0.003888;0.005054;0.000389;0.000389;0.000389;0.000389;0.000389;0.000389;0.001166;0.000389;0.000389;0.000389;0.000389;0.000389;0.000389;0.000389;0.000389;0.000389
rz;0.023256;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.069767;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
r,;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
r.;0.004975;0.009950;0.004975;0.661692;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.159204;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975
rí;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
rö;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
rá;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ré;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
rä;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
r#;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
g(;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
gi;0.000314;0.000314;0.018838;0.007849;0.022606;0.023548;0.007849;0.045526;0.010361;0.043642;0.000314;0.018524;0.056829;0.086970;0.001570;0.000314;0.000314;0.000942;0.314914;0.000314;0.016641;0.035793;0.009105;0.000314;0.000314;0.000314;0.258399;0.000314;0.014443;0.000314;0.000314;0.000314;0.000314;0.000314;0.000314;0.000314;0.000314
gm;0.007143;0.014286;0.007143;0.064286;0.192857;0.007143;0.007143;0.028571;0.007143;0.007143;0.007143;0.471429;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143
g ;0.000042;0.099188;0.025923;0.001062;0.148910;0.027071;0.031703;0.073223;0.018614;0.260167;0.026646;0.015426;0.039990;0.024138;0.000170;0.051082;0.027071;0.016021;0.011049;0.024521;0.037567;0.017424;0.008712;0.001190;0.000127;0.004335;0.005312;0.002422;0.000340;0.000212;0.000085;0.000042;0.000042;0.000042;0.000042;0.000042;0.000042
ga;0.000253;0.266194;0.060982;0.011134;0.000253;0.071356;0.013158;0.000253;0.000759;0.156377;0.000253;0.000506;0.022773;0.003796;0.003036;0.000759;0.010628;0.004049;0.171812;0.014676;0.000506;0.084767;0.038968;0.000253;0.000253;0.000253;0.033907;0.000253;0.025810;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253
gl;0.001111;0.054444;0.001111;0.001111;0.131111;0.001111;0.001111;0.270000;0.008889;0.001111;0.001111;0.393333;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.107778;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111;0.001111
gb;0.018868;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.037736;0.018868;0.132075;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.169811;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
go;0.000100;0.195391;0.000501;0.161022;0.007715;0.006814;0.000200;0.099399;0.002204;0.155110;0.000401;0.032565;0.002405;0.000100;0.025150;0.004910;0.002204;0.023547;0.187876;0.000100;0.000401;0.015130;0.001703;0.000100;0.000100;0.000100;0.073747;0.000100;0.000100;0.000100;0.000100;0.000100;0.000100;0.000100;0.000100;0.000100;0.000100
gu;0.000268;0.040729;0.066452;0.000536;0.061361;0.078510;0.001608;0.000804;0.000268;0.013666;0.000268;0.234191;0.031886;0.000268;0.000268;0.000268;0.000268;0.000268;0.065648;0.346463;0.000536;0.051179;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000536;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268;0.000268
gt;0.004292;0.098712;0.004292;0.004292;0.008584;0.004292;0.004292;0.549356;0.004292;0.004292;0.128755;0.077253;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292
gh;0.000108;0.003138;0.000325;0.180392;0.006276;0.012012;0.006060;0.008008;0.000216;0.725895;0.000108;0.016340;0.004653;0.000108;0.029650;0.001299;0.001840;0.000325;0.000541;0.000325;0.000108;0.000216;0.000325;0.000325;0.000108;0.000108;0.000108;0.000108;0.000108;0.000108;0.000108;0.000108;0.000108;0.000108;0.000108;0.000108;0.000108
ge;0.000106;0.002231;0.008710;0.222753;0.003081;0.010941;0.000425;0.021989;0.000319;0.351710;0.000106;0.005949;0.071595;0.000106;0.039409;0.000212;0.000212;0.043340;0.132887;0.000956;0.000106;0.080943;0.000106;0.000106;0.000106;0.000106;0.000319;0.000212;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106;0.000106
gs;0.000549;0.003295;0.000549;0.817683;0.001098;0.000549;0.000549;0.000549;0.000549;0.025810;0.001098;0.001098;0.000549;0.000549;0.133443;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549;0.000549
gc;0.018182;0.018182;0.018182;0.018182;0.018182;0.345455;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
